mode,n,d,layers,weight,trials,failures,failure_rate,avg_time_ms
brakedown,2048,6,2,29,200,0,0,15.131566499999993
spielman,2048,6,2,29,200,0,0,15.156043499999996
hybrid,2048,6,2,29,200,0,0,15.339899499999994
brakedown,2048,6,2,30,200,0,0,25.321404000000005
spielman,2048,6,2,30,200,0,0,26.025297999999996
hybrid,2048,6,2,30,200,0,0,26.05887
brakedown,2048,6,2,26,200,0,0,25.978680999999987
spielman,2048,6,2,26,200,0,0,25.95690499999999
hybrid,2048,6,2,26,200,0,0,25.981131500000004
brakedown,2048,6,2,24,200,0,0,26.734660500000018
spielman,2048,6,2,24,200,0,0,26.450714500000014
hybrid,2048,6,2,24,200,0,0,22.651556999999993
brakedown,2048,6,2,23,200,0,0,15.575430999999996
spielman,2048,6,2,23,200,0,0,25.259805999999987
hybrid,2048,6,2,23,200,0,0,28.212537500000003
brakedown,2048,6,2,22,200,0,0,23.287785500000002
spielman,2048,6,2,22,200,0,0,14.386851
hybrid,2048,6,2,22,200,0,0,15.468593499999999
