alpha,rho,c,d,measured_ms,model_value
0.12,0.704,4,8,10113.8578,6.095041322314049
0.12,0.704,6,11,10695.1381,8.948863636363637
0.12,0.704,8,12,10991.8827,11.41528925619835
0.12,0.704,12,16,12591.3477,16.735537190082646
0.178,0.657,4,8,10019.1183,7.502953408362866
0.178,0.657,6,11,10646.2475,10.924833442581667
0.178,0.657,8,12,11033.922499999999,13.687520136875198
0.178,0.657,12,16,12076.966900000001,19.872086865387534
0.238,0.581,4,8,10347.5641,9.550011067893621
0.238,0.581,6,11,11266.2706,13.787433197356354
0.238,0.581,8,12,11041.0115,16.949688517850934
0.238,0.581,12,16,12251.0341,24.34936596780824
