mode,n,d,layers,weight,trials,failures,failure_rate,avg_time_ms
brakedown,512,11,2,6,100,0,0,5.9419780000000015
spielman,512,11,2,6,100,0,0,6.534532999999998
hybrid,512,11,2,6,100,0,0,6.161557000000004
brakedown,1024,11,2,6,100,0,0,11.509131999999996
spielman,1024,11,2,6,100,0,0,13.507779999999993
hybrid,1024,11,2,6,100,0,0,13.056450000000002
brakedown,2048,11,2,6,100,0,0,23.292858
spielman,2048,11,2,6,100,0,0,25.534347000000004
hybrid,2048,11,2,6,100,0,0,23.581123999999992
brakedown,4096,11,2,6,100,0,0,44.65066500000001
spielman,4096,11,2,6,100,0,0,49.01928200000001
hybrid,4096,11,2,6,100,0,0,46.642799000000004
